Word                                                   Occurances    Lines

ANN                                                    4             1 3 5 7 
An                                                     2             3 
Neurons                                                2             5 
The                                                    3             5 7 
a                                                      13            3 5 7 
and                                                    7             1 3 5 7 
are                                                    3             1 5 
artificial                                             2             3 
as                                                     3             1 5 7 
at                                                     2             5 
been                                                   3             1 7 
biological                                             3             1 3 
brain                                                  3             3 7 
by                                                     4             1 5 
called                                                 2             3 5 
can                                                    2             3 
cat                                                    2             1 
cats                                                   3             1 
connected                                              2             3 
connection                                             3             3 5 
edges                                                  2             5 
example                                                3             1 
examples                                               2             1 
from                                                   3             1 5 7 
have                                                   6             1 5 7 
identify                                               2             1 
images                                                 3             1 
in                                                     6             1 3 7 
inputs                                                 2             5 
is                                                     4             3 5 
it                                                     2             3 
layer                                                  4             5 
layers                                                 3             5 
learn                                                  2             1 
like                                                   2             3 7 
may                                                    2             5 
networks                                               2             1 
neural                                                 2             1 
neuron                                                 2             3 5 
neurons                                                5             3 5 
of                                                     8             1 3 5 7 
on                                                     3             3 5 7 
or                                                     4             1 3 5 
other                                                  2             1 3 
output                                                 2             5 
perform                                                2             1 5 
recognition                                            2             1 7 
signal                                                 7             3 5 
systems                                                3             1 
tasks                                                  3             1 7 
that                                                   11            1 3 5 7 
the                                                    18            1 3 5 7 
they                                                   4             1 
threshold                                              2             5 
to                                                     10            1 3 5 7 
weight                                                 2             5 
without                                                2             1 


Links extracted from text:
http://github.com/NeonRice
www.github.com/NeonRice
